society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
signature global grand iva,0.5,sector 103,6667.0,2.0,2.0,0,10.0,Relatively New,flat,750.0,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
pivotal devaan,0.35,sector 84,7246.0,2.0,2.0,2,4.0,Relatively New,flat,537.0,0,0,0,0,0,0,37,"28.3979° N, 76.9736° E",28.3979,76.9736
dlf the crest,11.0,sector 54,35223.0,4.0,6.0,3,7.0,Relatively New,flat,2826.0,0,0,0,0,0,2,125,"28.4348° N, 77.1089° E",28.4348,77.1089
signature global solera,0.36,sector 107,6569.0,2.0,2.0,1,9.0,Relatively New,flat,496.0,0,0,0,0,0,0,28,"28.5052° N, 76.9729° E",28.5052,76.9729
independent,2.25,sector 7,15625.0,3.0,3.0,2,2.0,Old Property,house,1440.0,0,0,0,0,0,1,27,"28.4644° N, 77.0143° E",28.4644,77.0143
signature global the millennia,0.55,sector 37d,9167.0,2.0,2.0,3,3.0,New Property,flat,610.0,0,0,0,0,0,0,71,"28.4478° N, 76.9703° E",28.4478,76.9703
unitech the residences,1.35,sector 33,8738.0,3.0,4.0,2,8.0,Moderately Old,flat,1398.0,0,0,0,0,0,0,49,"28.4420° N, 77.0207° E",28.442,77.0207
signature global superbia,0.4,sector 95,6723.0,2.0,2.0,3,2.0,Under Construction,flat,661.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
sector 15 part 2 rwa,10.0,sector 15,22222.0,5.0,5.0,2,2.0,Old Property,house,4518.0,0,0,0,0,0,0,49,"28.4621° N, 77.0464° E",28.4621,77.0464
ats tourmaline,2.95,sector 109,9365.0,4.0,5.0,3+,10.0,Relatively New,flat,2851.0,0,0,0,0,0,0,101,"28.5073° N, 77.0089° E",28.5073,77.0089
signature global city 81,0.75,sector 81,6849.0,3.0,2.0,3,4.0,Under Construction,house,1095.0,1,0,0,0,0,0,97,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,1.8,sector 11,8079.0,8.0,5.0,2,1.0,Moderately Old,house,2476.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
antriksh heights,0.9,sector 84,6207.0,3.0,3.0,3+,12.0,Relatively New,flat,1525.0,0,0,0,0,0,0,166,"28.3979° N, 76.9736° E",28.3979,76.9736
puri emerald bay,2.55,sector 104,10408.0,4.0,4.0,3+,5.0,Relatively New,flat,2303.0,0,0,0,0,0,0,49,"28.4788° N, 76.9960° E",28.4788,76.996
vipul tatvam villa,7.35,sector 48,22812.0,4.0,5.0,2,2.0,Moderately Old,house,3222.0,1,1,1,1,0,1,144,"28.4177° N, 77.0359° E",28.4177,77.0359
the close north,2.35,sector 50,11768.0,3.0,3.0,3+,8.0,Moderately Old,flat,1950.0,0,0,0,0,0,1,165,"28.4178° N, 77.0628° E",28.4178,77.0628
orchid petals,4.21,sector 49,11836.0,5.0,6.0,3+,14.0,Relatively New,flat,3219.0,0,0,0,0,0,0,35,"28.4121° N, 77.0480° E",28.4121,77.048
belgravia resort residences,3.45,sector 48,18459.0,3.0,3.0,3,14.0,Moderately Old,flat,1869.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
independent,2.1,sector 43,4250.0,10.0,10.0,3+,5.0,New Property,house,549.0,0,1,0,0,0,0,20,"28.4629° N, 77.0772° E",28.4629,77.0772
